url, code, kiname, img, attach, Size ( Dimension), Tolerance, T.C, Voltage, Cap. Value, Packing, DC bias，AC voltage，TCC，ESR & |Z|
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN1R8AC0402CRNPO9BN1R80402CG1R8C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN1R8AC0402CRNPO9BN1R80402CG1R8C9B200,0402(1005),±0.25pF,NP0,50 V,1.8,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN2R0AC0402CRNPO9BN2R00402CG2R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN2R0AC0402CRNPO9BN2R00402CG2R0C9B200,0402(1005),±0.25pF,NP0,50 V,2,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN2R2AC0402CRNPO9BN2R20402CG2R2C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN2R2AC0402CRNPO9BN2R20402CG2R2C9B200,0402(1005),±0.25pF,NP0,50 V,2.2,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN2R7AC0402CRNPO9BN2R70402CG2R7C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN2R7AC0402CRNPO9BN2R70402CG2R7C9B200,0402(1005),±0.25pF,NP0,50 V,2.7,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN3R0AC0402CRNPO9BN3R00402CG3R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN3R0AC0402CRNPO9BN3R00402CG3R0C9B200,0402(1005),±0.25pF,NP0,50 V,3,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN3R3AC0402CRNPO9BN3R30402CG3R3C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN3R3AC0402CRNPO9BN3R30402CG3R3C9B200,0402(1005),±0.25pF,NP0,50 V,3.3,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN3R9AC0402CRNPO9BN3R90402CG3R9C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN3R9AC0402CRNPO9BN3R90402CG3R9C9B200,0402(1005),±0.25pF,NP0,50 V,3.9,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN4R0AC0402CRNPO9BN4R00402CG4R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN4R0AC0402CRNPO9BN4R00402CG4R0C9B200,0402(1005),±0.25pF,NP0,50 V,4,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN4R7AC0402CRNPO9BN4R70402CG4R7C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN4R7AC0402CRNPO9BN4R70402CG4R7C9B200,0402(1005),±0.25pF,NP0,50 V,4.7,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN5R0AC0402CRNPO9BN5R00402CG5R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN5R0AC0402CRNPO9BN5R00402CG5R0C9B200,0402(1005),±0.25pF,NP0,50 V,5,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN5R6AC0402CRNPO9BN5R60402CG5R6C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN5R6AC0402CRNPO9BN5R60402CG5R6C9B200,0402(1005),±0.25pF,NP0,50 V,5.6,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN6R0AC0402CRNPO9BN6R00402CG6R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN6R0AC0402CRNPO9BN6R00402CG6R0C9B200,0402(1005),±0.25pF,NP0,50 V,6,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN7R0AC0402CRNPO9BN7R00402CG7R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN7R0AC0402CRNPO9BN7R00402CG7R0C9B200,0402(1005),±0.25pF,NP0,50 V,7,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN9R0AC0402CRNPO9BN9R00402CG9R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN9R0AC0402CRNPO9BN9R00402CG9R0C9B200,0402(1005),±0.25pF,NP0,50 V,9,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BNR50AC0402CRNPO9BNR500402CGR50C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BNR50AC0402CRNPO9BNR500402CGR50C9B200,0402(1005),±0.25pF,NP0,50 V,0.5,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BNR56AC0402CRNPO9BNR560402CGR56C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BNR56AC0402CRNPO9BNR560402CGR56C9B200,0402(1005),±0.25pF,NP0,50 V,0.56,7" Paper,
